# R(kpc)    v_z(km/s)    err_vz(km/s)
# 
918.11    -722.7    50.0
2226.20    192.0    50.0
773.15    -219.0    50.0
380.10    -35.9    50.0
2006.07    -135.8    50.0
1506.33    -382.0    50.0
1398.86    792.9    50.0
651.37    -1980.1    50.0
310.37    -178.3    50.0
1000.19    562.0    50.0
714.47    -1077.7    50.0
1074.89    -46.5    50.0
1541.38    -284.7    50.0
1434.34    -1554.9    50.0
656.74    -1379.1    50.0
1942.35    1034.9    50.0
1587.25    629.9    50.0
1551.25    -143.7    50.0
897.04    -2017.6    50.0
1490.60    -637.3    50.0
904.88    17.4    50.0
1371.29    -392.4    50.0
1353.19    1113.4    50.0
1044.04    -1232.1    50.0
1909.83    -21.4    50.0
748.89    -572.5    50.0
749.74    1585.6    50.0
363.01    -1618.2    50.0
270.05    2945.8    50.0
219.06    190.7    50.0
898.06    645.0    50.0
1934.66    941.8    50.0
1469.50    294.5    50.0
197.93    51.9    50.0
1112.03    1141.2    50.0
1027.84    1904.7    50.0
2205.30    845.6    50.0
857.64    530.7    50.0
3889.77    872.0    50.0
2342.05    -27.9    50.0
1021.28    -1020.3    50.0
1205.56    452.4    50.0
562.42    1035.1    50.0
1104.25    -355.9    50.0
1789.05    -1003.6    50.0
2345.69    -1035.4    50.0
4977.79    391.9    50.0
2857.13    -1203.4    50.0
2468.46    -394.3    50.0
2725.71    105.6    50.0
419.94    1078.0    50.0
1456.60    1429.1    50.0
2181.35    -435.6    50.0
2988.08    408.5    50.0
599.86    46.6    50.0
1481.33    459.0    50.0
638.99    652.6    50.0
107.01    2846.8    50.0
427.96    1217.6    50.0
525.88    1223.4    50.0
585.88    -1527.7    50.0
4858.39    -680.4    50.0
1845.48    767.5    50.0
2131.24    -471.4    50.0
284.23    426.9    50.0
1553.56    863.0    50.0
1698.52    -301.6    50.0
855.34    -1399.1    50.0
4436.58    287.1    50.0
529.31    1536.3    50.0
1775.39    -2214.1    50.0
1078.76    -1215.9    50.0
616.37    -1277.1    50.0
1190.69    -8.3    50.0
1403.71    305.3    50.0
1602.55    -678.3    50.0
1716.12    370.5    50.0
1464.88    -1197.7    50.0
476.08    322.0    50.0
1087.58    -512.1    50.0
3284.01    431.4    50.0
1673.78    141.2    50.0
1204.20    1345.7    50.0
4937.94    -88.3    50.0
4822.66    -615.0    50.0
1743.59    -859.8    50.0
1555.94    -952.3    50.0
1136.75    1366.4    50.0
302.20    1270.2    50.0
4530.39    -458.6    50.0
1768.07    -664.6    50.0
960.09    251.9    50.0
5221.78    113.7    50.0
379.32    -496.4    50.0
641.75    626.2    50.0
2764.65    -14.0    50.0
234.79    930.0    50.0
2072.28    473.7    50.0
2516.94    -85.5    50.0
886.80    -690.1    50.0
164.19    -746.1    50.0
226.74    -717.8    50.0
773.74    -507.2    50.0
1066.50    -1207.1    50.0
1911.86    278.3    50.0
1927.71    1488.5    50.0
2220.68    49.3    50.0
2287.94    879.8    50.0
1060.39    4.3    50.0
766.01    -946.9    50.0
618.39    321.3    50.0
508.17    731.9    50.0
1320.00    140.5    50.0
352.71    -1247.3    50.0
226.08    -62.5    50.0
2303.19    289.1    50.0
749.98    -1182.9    50.0
3217.97    951.3    50.0
2484.19    430.1    50.0
1722.22    1033.0    50.0
1886.16    715.1    50.0
795.91    93.6    50.0
1230.50    -85.7    50.0
2227.35    -334.1    50.0
1804.92    1038.9    50.0
162.31    -670.7    50.0
1117.12    1480.0    50.0
392.98    746.7    50.0
912.67    837.8    50.0
758.90    291.8    50.0
533.90    114.0    50.0
1696.84    -597.8    50.0
882.41    15.2    50.0
2270.95    312.7    50.0
218.26    510.6    50.0
411.81    -802.4    50.0
1918.41    356.9    50.0
1728.85    -930.5    50.0
356.06    -981.3    50.0
826.00    1107.2    50.0
2739.46    -1387.4    50.0
2405.29    1312.9    50.0
383.83    1939.2    50.0
1998.36    146.7    50.0
1567.86    748.1    50.0
1926.49    84.8    50.0
2627.04    1546.7    50.0
4905.05    -638.0    50.0
159.65    -121.0    50.0
77.47    616.6    50.0
1845.45    690.8    50.0
1945.61    -1356.2    50.0
1501.81    -158.2    50.0
1144.25    794.9    50.0
599.15    1152.9    50.0
1352.59    -790.2    50.0
1047.01    706.1    50.0
907.60    636.7    50.0
1341.86    424.7    50.0
935.14    -127.1    50.0
1558.72    -564.2    50.0
2248.84    418.1    50.0
72.91    -2015.6    50.0
248.53    1075.5    50.0
4515.13    934.3    50.0
1510.75    178.4    50.0
1366.18    1063.6    50.0
226.54    -1145.4    50.0
1224.20    177.0    50.0
1858.85    -279.4    50.0
1714.83    1126.0    50.0
314.85    128.3    50.0
2531.32    252.9    50.0
746.35    252.4    50.0
2810.18    96.8    50.0
3259.20    -523.0    50.0
1200.66    -261.0    50.0
2336.42    -1050.9    50.0
1091.05    -199.6    50.0
2977.71    -773.5    50.0
1081.85    -70.2    50.0
744.48    -385.8    50.0
1381.39    197.5    50.0
870.39    939.2    50.0
1569.69    -803.4    50.0
3102.92    -519.5    50.0
338.47    1730.7    50.0
2124.17    933.1    50.0
1853.73    1395.9    50.0
2072.10    218.9    50.0
257.75    661.2    50.0
631.29    -1761.0    50.0
1345.59    -1186.3    50.0
655.07    -1088.3    50.0
569.77    -1147.9    50.0
1722.38    16.0    50.0
2551.71    606.6    50.0
512.94    -977.4    50.0
2849.60    883.8    50.0
2383.85    819.2    50.0
1678.51    -195.0    50.0
880.63    -133.7    50.0
300.73    -392.1    50.0
2427.18    104.3    50.0
1587.55    -1.2    50.0
3527.00    493.2    50.0
328.15    -191.8    50.0
754.93    -518.7    50.0
826.34    -426.7    50.0
340.91    865.8    50.0
1551.13    -732.3    50.0
197.21    844.6    50.0
231.11    -1213.0    50.0
1593.77    -591.4    50.0
484.61    1821.6    50.0
1509.59    94.1    50.0
1163.67    -1744.1    50.0
496.32    -830.6    50.0
474.72    1733.8    50.0
186.98    843.0    50.0
971.89    -823.9    50.0
2995.66    1129.0    50.0
365.58    -735.5    50.0
1018.20    562.2    50.0
1693.62    1091.1    50.0
312.38    993.6    50.0
1635.38    -619.2    50.0
707.40    -169.5    50.0
1294.96    628.2    50.0
912.26    604.7    50.0
495.25    -611.2    50.0
1005.89    803.1    50.0
1979.52    -523.7    50.0
174.04    -74.5    50.0
569.78    539.3    50.0
975.21    1060.0    50.0
1323.31    -908.0    50.0
751.49    -62.8    50.0
375.47    1691.7    50.0
216.74    -639.6    50.0
622.22    -2417.4    50.0
305.59    -2100.5    50.0
2121.14    598.7    50.0
428.17    -300.5    50.0
1058.65    665.8    50.0
175.64    -1606.3    50.0
2795.61    -1167.7    50.0
913.96    -502.2    50.0
4383.81    545.8    50.0
1152.19    1286.3    50.0
773.77    1204.2    50.0
2384.45    569.2    50.0
2470.71    734.3    50.0
1038.00    804.5    50.0
1246.02    -95.2    50.0
2211.40    -44.9    50.0
617.36    -707.0    50.0
1561.33    1223.4    50.0
2400.61    -386.0    50.0
1140.11    1456.3    50.0
521.33    614.1    50.0
1259.55    98.6    50.0
3240.94    168.2    50.0
1714.58    182.5    50.0
708.39    548.7    50.0
509.51    -794.3    50.0
2378.66    871.8    50.0
512.85    1047.6    50.0
533.43    -1993.8    50.0
1649.68    34.1    50.0
1677.86    58.4    50.0
356.32    815.7    50.0
1611.26    -1602.6    50.0
1342.07    474.0    50.0
812.80    -1693.9    50.0
1128.28    -643.3    50.0
1286.81    -809.6    50.0
1137.48    -502.7    50.0
582.68    -406.2    50.0
2039.75    -86.8    50.0
851.27    -166.8    50.0
1261.97    112.5    50.0
2403.44    69.2    50.0
198.72    -735.4    50.0
648.02    -1156.8    50.0
470.26    -343.4    50.0
1094.72    -188.7    50.0
378.38    -394.1    50.0
2472.64    50.8    50.0
369.92    1777.4    50.0
2118.11    -716.4    50.0
3855.09    -311.8    50.0
786.17    77.1    50.0
670.62    1241.3    50.0
1084.25    -929.2    50.0
283.24    -768.0    50.0
29.83    156.1    50.0
1542.90    -378.6    50.0
1940.68    1123.9    50.0
1181.22    1333.0    50.0
401.69    112.2    50.0
1032.22    29.3    50.0
815.67    -1095.8    50.0
1984.96    -420.8    50.0
3073.54    -901.6    50.0
754.98    -1081.7    50.0
1449.12    1633.0    50.0
1496.33    -1742.9    50.0
440.89    -2485.1    50.0
1152.40    -530.3    50.0
770.25    -1381.1    50.0
1976.60    1246.2    50.0
1031.03    -715.3    50.0
374.84    -31.9    50.0
2895.54    -35.3    50.0
1830.65    -63.8    50.0
1232.80    624.0    50.0
1313.76    647.2    50.0
620.39    809.7    50.0
2337.38    -1896.5    50.0
2568.72    -953.5    50.0
1938.09    477.8    50.0
1812.94    194.6    50.0
477.53    -2604.1    50.0
482.67    97.1    50.0
285.85    358.3    50.0
4303.17    332.8    50.0
2224.45    1069.3    50.0
1471.53    -117.3    50.0
1179.75    1112.0    50.0
429.62    -1644.0    50.0
4179.26    283.3    50.0
4535.58    -417.2    50.0
960.75    -1935.0    50.0
563.84    -1273.7    50.0
998.94    250.2    50.0
1823.05    -1514.3    50.0
1471.76    -1522.7    50.0
1965.47    230.9    50.0
130.51    -154.5    50.0
2801.40    -41.7    50.0
1674.90    154.1    50.0
2549.89    -147.7    50.0
2745.62    814.1    50.0
3297.99    -442.6    50.0
4270.16    1006.2    50.0
414.26    -798.9    50.0
151.81    -867.7    50.0
1635.41    -2008.5    50.0
5031.81    780.7    50.0
