#    Rkpc      vkms     evkms   weights
#                  
       102.31634      1124.38      15.0000      1.00000
       1392.6263     -458.081      153.000      1.00000
       81.725424      166.577      15.0000      1.00000
       334.29333      166.577      15.0000      1.00000
       349.50077     -104.108      15.0000      1.00000
       325.55040      749.586      75.0000      1.00000
       580.76075      3622.99      153.000      1.00000
       91.835823     -853.693      15.0000      1.00000
       1468.5627      1842.73      153.000      1.00000
       549.48833     -583.008      153.000      1.00000
       171.53194      936.982      15.0000      1.00000
       154.35966     -1124.38      15.0000      1.00000
       29.410770     -2873.41      15.0000      1.00000
       67.132066      2248.76      15.0000      1.00000
       147.12093     -978.626      15.0000      1.00000
       535.55983     -853.693      153.000      1.00000
       171.50422      2269.58      15.0000      1.00000
       127.37249      832.874      15.0000      1.00000
       176.65540      166.577      15.0000      1.00000
       44.491642     -166.571      15.0000      1.00000
       156.14464     -208.215      15.0000      1.00000
       164.55474     -2477.80      15.0000      1.00000
       115.91687      645.478      15.0000      1.00000
       301.93945     -2061.36      15.0000      1.00000
       100.14529     -478.900      15.0000      1.00000
       158.87440      1082.73      15.0000      1.00000
       248.90474      1270.13      15.0000      1.00000
       98.420596      437.262      15.0000      1.00000
       74.300253      3102.45      15.0000      1.00000
       1756.2770      510.138      153.000      1.00000
       128.90904      1624.10      15.0000      1.00000
       71.395600      1166.02      15.0000      1.00000
       160.66439     -312.323      15.0000      1.00000
       140.57181      1749.03      15.0000      1.00000
       1297.6924     -541.364      153.000      1.00000
       90.040359      1790.68      15.0000      1.00000
       168.39136     -853.693      15.0000      1.00000
       346.42242     -104.108      15.0000      1.00000
       554.25260     -999.445      153.000      1.00000
       383.23747     -1332.59      15.0000      1.00000
       1355.4301      916.163      153.000      1.00000
       104.59260      2248.76      15.0000      1.00000
       294.41472      1915.61      15.0000      1.00000
       112.02702     -541.364      15.0000      1.00000
       145.64122     -936.982      15.0000      1.00000
       145.40755     -1270.13      15.0000      1.00000
       139.22586      1603.28      15.0000      1.00000
       145.48804      1332.60      15.0000      1.00000
       722.81309      1686.57      153.000      1.00000
       134.69241      2082.19      15.0000      1.00000
       606.72091     -343.561      153.000      1.00000
       210.37883      895.338      15.0000      1.00000
       183.28394     -2248.76      15.0000      1.00000
       333.85115     -978.626      15.0000      1.00000
       155.21865      2311.22      15.0000      1.00000
       135.91780     -3539.71      15.0000      1.00000
       642.64193      1624.10      153.000      1.00000
       1889.1562     -520.545      75.0000      1.00000
       1027.9522     -666.297      153.000      1.00000
       1856.1501     -416.437      153.000      1.00000
       1174.9962      562.189      153.000      1.00000
       1478.5812     -187.396      153.000      1.00000
       1775.2899      249.866      75.0000      1.00000
       335.74777      832.874      153.000      1.00000
       261.53562     -2561.08      15.0000      1.00000
       342.90190      145.752      153.000      1.00000
       1577.4593     -1103.55      75.0000      1.00000
       569.65587      1790.68      75.0000      1.00000
       277.60794     -2352.86      75.0000      1.00000
       180.04346     -2436.15      15.0000      1.00000
       2024.9240      166.577      153.000      1.00000
       444.27648      2581.91      153.000      1.00000
       423.02336      1707.39      75.0000      1.00000
       1773.3669      791.230      75.0000      1.00000
       392.81663     -1530.40      153.000      1.00000
       293.96277      2186.29      15.0000      1.00000
       1806.9933      707.941      75.0000      1.00000
       563.80592      1696.98      153.000      1.00000
       1008.8712      936.982      153.000      1.00000
       329.09675      0.00000      153.000      1.00000
       525.53827     -676.709      153.000      1.00000
       619.08527     -583.008      75.0000      1.00000
       543.69394     -1353.42      153.000      1.00000
       831.37986     -603.833      153.000      1.00000
       308.94298     -568.432      153.000      1.00000
       392.77173     -353.967      153.000      1.00000
       416.47985     -895.338      75.0000      1.00000
       406.78548      1103.56      153.000      1.00000
       703.80945     -749.586      153.000      1.00000
       1180.2688     -1978.07      153.000      1.00000
       516.60717     -162.407      153.000      1.00000
       2086.3093      1041.09      153.000      1.00000
       453.68648     -1519.99      153.000      1.00000
       336.28689     -520.545      153.000      1.00000
       424.42415     -884.925      153.000      1.00000
       1055.9864      1270.13      75.0000      1.00000
       634.37965      270.685      153.000      1.00000
       1799.6638      437.262      75.0000      1.00000
       455.35365      1873.96      75.0000      1.00000
       279.91948      1395.06      75.0000      1.00000
       460.70719      62.4696      153.000      1.00000
       644.79799      187.396      153.000      1.00000
       910.67569      1769.86      153.000      1.00000
       1600.8636     -72.8760      153.000      1.00000
       816.92665     -1041.09      153.000      1.00000
       1546.7552     -541.364      153.000      1.00000
       456.89012     -2456.97      75.0000      1.00000
       1909.2273     -1041.09      153.000      1.00000
       1263.5141      1332.60      153.000      1.00000
       813.64016      1707.39      153.000      1.00000
       431.65465     -62.4634      153.000      1.00000
       1036.4707     -41.6443      153.000      1.00000
       576.27128     -249.860      153.000      1.00000
       635.00106     -326.900      153.000      1.00000
       604.30335     -916.157      153.000      1.00000
       460.38189     -229.041      153.000      1.00000
       595.55535      1145.20      153.000      1.00000
       474.15932     -1998.89      153.000      1.00000
       1842.6148     -1374.24      153.000      1.00000
       1386.0508     -1311.77      153.000      1.00000
       521.63275     -541.364      75.0000      1.00000
       1130.8225     -62.4634      153.000      1.00000
       537.51043      10.4126      153.000      1.00000
       644.38617     -791.230      153.000      1.00000
       1464.3275      1103.56      153.000      1.00000
       573.69937     -156.165      153.000      1.00000
       559.77301     -249.860      75.0000      1.00000
       590.52982      0.00000      75.0000      1.00000
       1943.0062      1207.67      153.000      1.00000
       1117.4636     -603.833      75.0000      1.00000
       594.12578      187.396      153.000      1.00000
       1931.7388     -489.313      153.000      1.00000
       994.93890     -229.041      153.000      1.00000
       818.25415      2248.76      153.000      1.00000
       842.02670     -353.967      75.0000      1.00000
       1938.8294      1624.10      153.000      1.00000
       596.33798      624.653      75.0000      1.00000
       1291.2862      1186.84      75.0000      1.00000
       877.26938      1613.69      153.000      1.00000
       965.80487      666.297      75.0000      1.00000
       1961.5739      353.974      153.000      1.00000
       787.06709     -1505.41      153.000      1.00000
       959.16048     -1145.20      153.000      1.00000
       2012.2197      291.504      75.0000      1.00000
       968.18836      406.024      153.000      1.00000
       748.13388      984.875      153.000      1.00000
       800.39285      114.520      153.000      1.00000
       1882.8063      666.297      75.0000      1.00000
       2084.8754      916.163      153.000      1.00000
       1916.4321     -707.941      153.000      1.00000
       988.55563      2227.94      75.0000      1.00000
       2064.3510     -1728.21      153.000      1.00000
       1135.2605     -249.860      153.000      1.00000
       655.53838     -2665.19      153.000      1.00000
       979.68929     -166.571      153.000      1.00000
       1132.4086     -312.323      153.000      1.00000
       834.78154     -52.0508      153.000      1.00000
       1722.5997      62.4696      153.000      1.00000
       829.78883     -1166.02      75.0000      1.00000
       1224.3339     -624.653      75.0000      1.00000
       1365.5228      2071.77      153.000      1.00000
       884.53806     -2290.40      75.0000      1.00000
       1380.6951      853.693      153.000      1.00000
       828.64005     -1284.71      153.000      1.00000
       1867.0011     -1103.55      75.0000      1.00000
       800.19581     -1749.03      153.000      1.00000
       996.82397     -333.148      153.000      1.00000
       1132.8827      1270.13      153.000      1.00000
       1769.2522     -374.793      153.000      1.00000
       1188.6036      2415.33      75.0000      1.00000
       2144.7084     -1884.37      153.000      1.00000
       1106.2255     -1082.73      153.000      1.00000
       1071.7064      957.807      153.000      1.00000
       920.55711     -437.256      153.000      1.00000
       1064.8477      687.122      75.0000      1.00000
       1083.6825      187.396      153.000      1.00000
       1287.6821      1186.84      153.000      1.00000
       1049.5377     -1624.10      153.000      1.00000
       1303.8634     -1478.35      153.000      1.00000
       1779.1934     -687.116      153.000      1.00000
       1056.6229      1359.67      153.000      1.00000
       1137.9941     -20.8191      153.000      1.00000
       1918.6072      437.262      153.000      1.00000
       1430.8121     -562.189      75.0000      1.00000
       1066.3257      353.974      153.000      1.00000
       1858.6201     -707.941      153.000      1.00000
       1939.4817     -1821.91      153.000      1.00000
       1714.7506     -1061.91      75.0000      1.00000
       1767.0918     -249.860      153.000      1.00000
       1981.9419     -166.571      153.000      1.00000
       1138.6163     -2477.80      153.000      1.00000
       1363.0023     -1290.95      75.0000      1.00000
       1780.6754     -1145.20      75.0000      1.00000
       1247.6629     -270.685      153.000      1.00000
       2061.2768      1353.42      153.000      1.00000
       2061.2755     -1738.62      153.000      1.00000
       1168.3527     -10.4126      153.000      1.00000
       1397.5081      936.982      153.000      1.00000
       1212.9616     -3316.91      153.000      1.00000
       1324.7509     -749.586      75.0000      1.00000
       1320.4144     -874.512      153.000      1.00000
       1687.5397     -312.323      153.000      1.00000
       1517.4818     -312.323      75.0000      1.00000
       1378.7862     -343.561      153.000      1.00000
       2003.0636      499.726      153.000      1.00000
       2062.1483      645.478      75.0000      1.00000
       1872.2232      520.545      153.000      1.00000
       1629.7284     -978.626      153.000      1.00000
       1355.9299     -874.512      75.0000      1.00000
       1635.4086     -957.801      75.0000      1.00000
       1389.0727      312.329      153.000      1.00000
       1423.0882      999.445      153.000      1.00000
       2015.7397      478.900      75.0000      1.00000
       1399.4580     -291.504      153.000      1.00000
       1644.1552     -936.982      153.000      1.00000
       1618.2747      0.00000      75.0000      1.00000
       1602.7613      562.189      153.000      1.00000
       1580.0407     -10.4126      153.000      1.00000
       2088.1952      437.262      153.000      1.00000
       1871.4422     -728.760      153.000      1.00000
       1959.8585     -526.794      153.000      1.00000
       2129.6742      1061.91      153.000      1.00000
       1717.9824     -1186.84      153.000      1.00000
       1904.3900     -562.189      153.000      1.00000
       2022.7989     -374.793      153.000      1.00000
       1888.1626     -437.256      153.000      1.00000
       2069.0792     -1436.70      153.000      1.00000
       2094.4110     -1145.20      153.000      1.00000
       1894.7706     -395.612      75.0000      1.00000
       2033.2721      1436.71      153.000      1.00000
       1197.2276      1478.35      153.000      1.00000
       229.78140     -458.081      15.0000      1.00000
       102.41849     -1894.78      15.0000      1.00000
       70.408301      999.445      15.0000      1.00000
       194.24273     -2790.12      15.0000      1.00000
       133.76254     -2248.76      15.0000      1.00000
       165.39590     -312.323      15.0000      1.00000
       340.61618     -2040.54      15.0000      1.00000
       126.10447     -2207.11      15.0000      1.00000
       289.15702     -2727.66      15.0000      1.00000
       86.247996     -2540.26      15.0000      1.00000
       149.92043     -2519.44      15.0000      1.00000
       369.31628     -2394.51      15.0000      1.00000
       156.27036     -2040.54      15.0000      1.00000
       179.75880     -1790.68      15.0000      1.00000
       354.34454     -1707.39      15.0000      1.00000
       225.75419     -1665.74      15.0000      1.00000
       391.93168     -1644.92      15.0000      1.00000
       240.82460     -1561.63      15.0000      1.00000
       174.07039     -1457.53      15.0000      1.00000
       123.01653     -1395.06      15.0000      1.00000
       277.00379     -1374.24      15.0000      1.00000
       256.17540     -1290.95      15.0000      1.00000
       146.08939     -1228.49      15.0000      1.00000
       303.89529     -1103.55      15.0000      1.00000
       158.58123     -957.801      15.0000      1.00000
       119.33098     -749.586      15.0000      1.00000
       206.13705     -707.941      15.0000      1.00000
       364.05084     -707.941      15.0000      1.00000
       371.95416     -687.116      15.0000      1.00000
       153.94942     -458.081      15.0000      1.00000
       278.35994     -229.041      15.0000      1.00000
       177.76236     -229.041      15.0000      1.00000
       167.97969     -166.571      15.0000      1.00000
       366.10622      395.618      15.0000      1.00000
       431.23498      624.653      15.0000      1.00000
       299.23917      749.586      15.0000      1.00000
       319.88202      874.519      15.0000      1.00000
       443.24943      999.445      15.0000      1.00000
       112.71724      1061.91      15.0000      1.00000
       272.98363      1228.49      15.0000      1.00000
       253.38534      1249.31      15.0000      1.00000
       229.75486      1290.96      15.0000      1.00000
       385.89660      1353.42      15.0000      1.00000
       398.11530      1478.35      15.0000      1.00000
       103.80063      1582.46      15.0000      1.00000
       421.84030      2040.54      15.0000      1.00000
       414.02914      2123.82      15.0000      1.00000
       277.89450      2248.76      15.0000      1.00000
       283.89940      2581.91      15.0000      1.00000
       266.90438      2790.13      15.0000      1.00000
       274.40035      1936.43      15.0000      1.00000
       144.01744      478.900      15.0000      1.00000
